objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Pic 1.jpg,,,Overview,Museo nan Surigao,2016-04-24,A Rizal Statue and Bell,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll002,Pic 2.jpg,,,Sanctus Bell,Surigao Heritage Center,2022-11-15, Sanctus Bell,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll003,Pic 3.jpg,,,Dug-Out Coffin and Bones,Surigao Heritage Center,2022-11-15,A picture of a Boat/Dug-out coffin and human bones and artifact,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll004,Pic 4.jpg,,,Antique Jar,Surigao Heritage Center,2022-11-15,A picture of an Antique Jar,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll005,Pic 5.jpg,,,Female Armor,Surigao Heritage Center,2022-11-15,An armor used by women in combat,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll006,Pic 6.jpg,,,Torpedo,Battle of Surigao Strait Museum,2015-01-31,A torpedo used by Japanese fighter,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll007,Pic 7.jpg,,,Wooden Artifacts,Museo nan Surigao,2016-04-24,A  kalesa wheel and other artifacts,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll008,Pic 8.jpg,,,Campana de Casa Real,Surigao Heritage Center,2023-03-09,A Campana de Casa Real,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll009,Pic 9.jpg,,,US Military Canteen Set,Surigao Heritage Center,2023-03-09,A canteen set used by US miliitary in WWII,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll010,Pic 10.jpg,,,World War II Bomb,Surigao Heritage Center,2023-03-09,A bomb used in WWII,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
