objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,pic1.jpg,,,Overview,Museo nan Surigao,2016-04-24,A Rizal Statue and Bell,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll003,pic2.jpg,,,Sanctus Bell,Surigao Heritage Center,2022-11-15, Sanctus Bell,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll004,pic3.jpg,,,Dug-Out Coffin and Bones,Surigao Heritage Center,2022-11-15,A picture of a Boat/Dug-out coffin and human bones and artifact,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll005,pic4.jpg,,,,Surigao Heritage Center,2022-11-15,,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll006,pic5.jpg,,,Female Armor,Surigao Heritage Center,2022-11-15,An armor used by women in combat,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll007,pic6.jpg,,,Torpedo,Battle of Surigao Strait Museum,2015-01-31,A torpedo used by Japanese fighter,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll008,pic7.jpg,,,Wooden Artifacts,Museo nan Surigao,2016-04-24,A  kalesa wheel and other artifacts,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll009,pic8.jpg,,,Campana de Casa Real,Surigao Heritage Center,2023-03-09,A Campana de Casa Real,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll010,pic9.jpg,,,US Military Canteen Set,Surigao Heritage Center,2023-03-09,A canteen set used by US miliitary in WWII,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll011,pic10.jpg,,,World War II Bomb,Surigao Heritage Center,2023-03-09,A bomb used in WWII,universities;buildings;campuses;picture postcards,"Surigao City, Philippines",,,,,Image;StillImage,image/jpg,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
